Puente Hidrógeno
Ciclo Hidrológico
Infiltración 
Escurrimiento Superficial
Escorrentía
Percolación
Transpiración
Condensación
Tiempo de Residencia
Conductividad
Resistividad
Isoyeta
Agricultura de secano
Salinidad
Sodicidad
Toxicidad
Pluviómetro
Precipitación areal
Polígonos de Thiessen
Red Pluviométrica
Hietograma.
Disponibilidad
Uso consuntivo
FAO
recurso hídrico
consumo agrícola
uso doméstico
uso industrial
estrés hídrico
Cambio Climático
IPCC
gases de efecto invernadero
NOAA
cambios en las precipitaciones 
glaciares
nivel del mar
dilatación térmica
tendencia relativa del nivel del mar
escenarios climáticos
